Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\applyDependencyDefinitions.test.ts             | TypeScript         |         65 |          0 |         11 |         76 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\applyDependencyDefinitions.ts                  | TypeScript         |         41 |          0 |          8 |         49 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\resolveDependencyOrder.test.ts                 | TypeScript         |         28 |          0 |          8 |         36 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\resolveDependencyOrder.ts                      | TypeScript         |         40 |          0 |          8 |         48 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\constants.ts                                          | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\index.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\simulation.ts                                  | TypeScript         |          5 |          0 |          3 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\types.ts                                       | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\workspace-session.ts                           | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\index.ts                                              | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\node-kind.ts                                          | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\base.ts                                    | TypeScript         |         45 |          0 |          4 |         49 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\and.ts                               | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\buffer.ts                            | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\index.ts                             | TypeScript         |         15 |          0 |          1 |         16 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\lamp.ts                         | TypeScript         |         75 |          0 |          2 |         77 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\svg.ts                          | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nand.ts                              | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nor.ts                               | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\not.ts                               | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\or.ts                                | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\toggle.ts                            | TypeScript         |        124 |          0 |          2 |        126 |
